Filename,Author,Gender,Title,Date,URL,URL(text-only)
fpn-crumpton-crumpton.xml,H. J. Crumpton,m,The Adventures of Two Alabama Boys,1912,http://docsouth.unc.edu/fpn/crumpton/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-crumpton-crumpton.txt
fpn-caldwell-caldwell.xml,Joseph  Caldwell,m,"Autobiography and Biography of Rev. Joseph Caldwell, D.D., L.L.D., First President of the University of North Carolina",1860,http://docsouth.unc.edu/fpn/caldwell/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-caldwell-caldwell.txt
fpn-carroll-carroll.xml,John W. Carroll,m,Autobiography and Reminiscences of John W. Carroll,1898,http://docsouth.unc.edu/fpn/carroll/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-carroll-carroll.txt
fpn-biggs-biggs.xml,Asa  Biggs,m,"Autobiography of Asa Biggs, Including a Journal of a Trip from North Carolina to New York in 1832",1915,http://docsouth.unc.edu/fpn/biggs/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-biggs-biggs.txt
fpn-lane-lane.xml,Isaac  Lane,m,"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism",1916,http://docsouth.unc.edu/fpn/lane/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-lane-lane.txt
fpn-johnstonr-johnston.xml,Richard Malcolm Johnston,m,Autobiography of Col. Richard Malcolm Johnston,1900,http://docsouth.unc.edu/fpn/johnstonr/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-johnstonr-johnston.txt
fpn-fee-fee.xml,John Gregg Fee,m,"Autobiography of John G. Fee: Berea, Kentucky",1891,http://docsouth.unc.edu/fpn/fee/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-fee-fee.txt
fpn-leconte-leconte.xml,Joseph  LeConte,m,The Autobiography of Joseph LeConte,1903,http://docsouth.unc.edu/fpn/leconte/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-leconte-leconte.txt
fpn-sawyer-sawyer.xml,Lemuel  Sawyer,m,Autobiography of Lemuel Sawyer: Formerly Member of Congress from North Carolina,1844,http://docsouth.unc.edu/fpn/sawyer/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-sawyer-sawyer.txt
fpn-boyd1-boyd1.xml,Belle  Boyd,f,Belle Boyd in Camp and Prison. In Two Volumes. Vol. I.,1865,http://docsouth.unc.edu/fpn/boyd1/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-boyd1-boyd1.txt
fpn-boyd2-boyd2.xml,Belle  Boyd,f,Belle Boyd in Camp and Prison. In Two Volumes. Vol. II.,1865,http://docsouth.unc.edu/fpn/boyd2/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-boyd2-boyd2.txt
fpn-clay-clay.xml,Virginia  Clay-Clopton,f,"A Belle of the Fifties: Memoirs of Mrs. Clay, of Alabama, Covering Social and Political Life in Washington and the South, 1853-66",1905,http://docsouth.unc.edu/fpn/clay/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-clay-clay.txt
fpn-arp-arp.xml,Bill  Arp,m,"Bill Arp from the Uncivil War to Date, 1861-1903",1903,http://docsouth.unc.edu/fpn/arp/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-arp-arp.txt
fpn-patton-patton.xml,James  Patton,m,Biography of James Patton,1850,http://docsouth.unc.edu/fpn/patton/menu.html,http://docsouth.unc.edu/full-text/first-person-narratives-american-south/data/texts/fpn-patton-patton.txt
